trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
0	0.11796810000669211	stim	0		264	surprise	0.05	1.0	2000.0	1.0	20.11881130002439	2.6388358999975026
0	2.7482870000239927	response	0	space		surprise	0.05	1.0	2000.0	1.0	22.74913020004169	
0	2.7568040000041947	stim	1		101	surprise	0.05	1.0	2000.0	1.0	22.757647200021893	1.0108197000226937
0	3.7676237000268884	stim	2		50	surprise	0.05	1.0	2000.0	1.0	23.768466900044587	0.5000405999890063
1	4.267664300015895	stim	0		0	surprise	0.05	1.0	2000.0	1.0	24.268507500033593	0.002236500004073605
1	4.269900800019968	stim	1		100	surprise	0.05	1.0	2000.0	1.0	24.270744000037666	0.9979515000013635
1	5.267852300021332	stim	2		50	surprise	0.05	1.0	2000.0	1.0	25.26869550003903	0.500089899986051
2	5.767942200007383	stim	0		0	surprise	0.05	1.0	1000.0	0.9804947171720192	25.76878540002508	0.0022403000039048493
2	5.770182500011288	stim	1		100	surprise	0.05	1.0	1000.0	0.9804947171720192	25.771025700028986	0.9982972000143491
2	6.768479700025637	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	26.769322900043335	0.49979829997755587
3	7.268278000003193	stim	0		0	surprise	0.05	1.0	2000.0	1.0	27.26912120002089	0.002070600021397695
3	7.27034860002459	stim	1		99	surprise	0.05	1.0	2000.0	1.0	27.27119180004229	0.9978072999801952
3	8.268155900004786	stim	2		50	surprise	0.05	1.0	2000.0	1.0	28.268999100022484	0.5004720000142697
4	8.768627900019055	stim	0		0	surprise	0.05	1.0	2000.0	1.0	28.769471100036753	0.0024511999799869955
4	8.771079099999042	stim	1		100	surprise	0.05	1.0	2000.0	1.0	28.77192230001674	0.9972238000191282
4	9.76830290001817	stim	2		50	surprise	0.05	1.0	2000.0	1.0	29.76914610003587	0.4992922999954317
5	10.267595200013602	stim	0		0	surprise	0.05	1.0	2000.0	1.0	30.2684384000313	0.002166999998735264
5	10.269762200012337	stim	1		100	surprise	0.05	1.0	2000.0	1.0	30.270605400030036	0.9979076999879908
5	11.267669900000328	stim	2		50	surprise	0.05	1.0	2000.0	1.0	31.268513100018026	0.49897580000106245
6	11.76664570000139	stim	0		0	surprise	0.05	1.0	2000.0	1.0	31.76748890001909	0.002144800004316494
6	11.768790500005707	stim	1		99	surprise	0.05	1.0	2000.0	1.0	31.769633700023405	0.9889772000024095
6	12.757767700008117	stim	2		51	surprise	0.05	1.0	2000.0	1.0	32.758610900025815	0.5095922999898903
7	13.267359999998007	stim	0		0	surprise	0.05	1.0	2000.0	1.0	33.268203200015705	0.0027917000115849078
7	13.270151700009592	stim	1		100	surprise	0.05	1.0	2000.0	1.0	33.27099490002729	0.9969410999910906
7	14.267092800000682	stim	2		50	surprise	0.05	1.0	2000.0	1.0	34.26793600001838	0.49972010002238676
8	14.76681290002307	stim	0		0	surprise	0.05	1.0	2000.0	1.0	34.76765610004077	0.0023006999981589615
8	14.769113600021228	stim	1		100	surprise	0.05	1.0	2000.0	1.0	34.769956800038926	0.9980021999799646
8	15.767115800001193	stim	2		50	surprise	0.05	1.0	2000.0	1.0	35.76795900001889	0.49974769999971613
9	16.26686350000091	stim	0		0	surprise	0.05	1.0	2000.0	1.0	36.26770670001861	0.0021311000164132565
9	16.268994600017322	stim	1		100	surprise	0.05	1.0	2000.0	1.0	36.26983780003502	0.9986025999824051
9	17.267597199999727	stim	2		50	surprise	0.05	1.0	2000.0	1.0	37.268440400017425	0.5051197000138927
10	17.77271690001362	stim	0		0	surprise	0.05	1.0	2000.0	1.0	37.77356010003132	0.00281949999043718
10	17.775536400004057	stim	1		100	surprise	0.05	1.0	2000.0	1.0	37.776379600021755	0.9926851000054739
10	18.76822150000953	stim	2		50	surprise	0.05	1.0	2000.0	1.0	38.76906470002723	0.49990019999677315
11	19.268121700006304	stim	0		0	surprise	0.05	1.0	2000.0	1.0	39.268964900024	0.00231430001440458
11	19.27043600002071	stim	1		100	surprise	0.05	1.0	2000.0	1.0	39.27127920003841	0.9977660999866202
11	20.26820210000733	stim	2		50	surprise	0.05	1.0	2000.0	1.0	40.26904530002503	0.500218400004087
12	20.768420500011416	stim	0		0	surprise	0.05	1.0	2000.0	1.0	40.769263700029114	0.0022504999942611903
12	20.770671000005677	stim	1		100	surprise	0.05	1.0	2000.0	1.0	40.771514200023375	0.9974446000123862
12	21.768115600018064	stim	2		50	surprise	0.05	1.0	2000.0	1.0	41.76895880003576	0.500074699986726
13	22.26819030000479	stim	0		0	surprise	0.05	1.0	2000.0	1.0	42.26903350002249	0.0022652000188827515
13	22.270455500023672	stim	1		100	surprise	0.05	1.0	2000.0	1.0	42.27129870004137	0.9979823999747168
13	23.26843789999839	stim	2		50	surprise	0.05	1.0	2000.0	1.0	43.26928110001609	0.4999893000058364
14	23.768427200004226	stim	0		0	surprise	0.05	1.0	2000.0	1.0	43.769270400021924	0.002077700017252937
14	23.77050490002148	stim	1		100	surprise	0.05	1.0	2000.0	1.0	43.77134810003918	0.9978906000033021
14	24.76839550002478	stim	2		50	surprise	0.05	1.0	2000.0	1.0	44.76923870004248	0.49953699999605305
15	25.267932500020834	stim	0		0	surprise	0.05	1.0	2000.0	1.0	45.26877570003853	0.002455699985148385
15	25.270388200005982	stim	1		100	surprise	0.05	1.0	2000.0	1.0	45.27123140002368	0.9981815000064671
15	26.26856970001245	stim	2		50	surprise	0.05	1.0	2000.0	1.0	46.26941290003015	0.5003453000099398
16	26.76891500002239	stim	0		0	surprise	0.05	1.0	2000.0	1.0	46.76975820004009	0.002223699993919581
16	26.77113870001631	stim	1		100	surprise	0.05	1.0	2000.0	1.0	46.77198190003401	0.9962293999851681
16	27.767368100001477	stim	2		50	surprise	0.05	1.0	2000.0	1.0	47.768211300019175	0.5000742000120226
17	28.2674423000135	stim	0		0	surprise	0.05	1.0	2000.0	1.0	48.2682855000312	0.002584400004707277
17	28.270026700018207	stim	1		100	surprise	0.05	1.0	2000.0	1.0	48.270869900035905	0.9973410999809857
17	29.267367799999192	stim	2		50	surprise	0.05	1.0	2000.0	1.0	49.26821100001689	0.4997571000130847
18	29.767124900012277	stim	0		0	surprise	0.05	1.0	2000.0	1.0	49.767968100029975	0.002443600009428337
18	29.769568500021705	stim	1		100	surprise	0.05	1.0	2000.0	1.0	49.7704117000394	0.9986849999986589
18	30.768253500020364	stim	2		50	surprise	0.05	1.0	2000.0	1.0	50.76909670003806	0.498791899997741
19	31.267045400018105	stim	0		0	surprise	0.05	1.0	2000.0	1.0	51.2678886000358	0.002322999993339181
19	31.269368400011444	stim	1		100	surprise	0.05	1.0	2000.0	1.0	51.27021160002914	0.9984972999955062
19	32.26786570000695	stim	2		50	surprise	0.05	1.0	2000.0	1.0	52.26870890002465	0.5000164000084624
20	32.76788210001541	stim	0		0	surprise	0.05	1.0	2000.0	1.0	52.76872530003311	0.002069100009975955
20	32.76995120002539	stim	1		100	surprise	0.05	1.0	2000.0	1.0	52.77079440004309	0.9978705999965314
20	33.76782180002192	stim	2		50	surprise	0.05	1.0	2000.0	1.0	53.76866500003962	0.5000639999925625
21	34.26788580001448	stim	0		0	surprise	0.05	1.0	2000.0	1.0	54.26872900003218	0.002218499983428046
21	34.27010429999791	stim	1		100	surprise	0.05	1.0	2000.0	1.0	54.27094750001561	0.9982751000206918
21	35.2683794000186	stim	2		50	surprise	0.05	1.0	2000.0	1.0	55.2692226000363	0.49990679998882115
22	35.768286200007424	stim	0		0	surprise	0.05	1.0	2000.0	1.0	55.76912940002512	0.0026763000059872866
22	35.77096250001341	stim	1		100	surprise	0.05	1.0	2000.0	1.0	55.77180570003111	0.9978924999886658
22	36.76885500000208	stim	2		50	surprise	0.05	1.0	2000.0	1.0	56.769698200019775	0.4995182999991812
23	37.26837330000126	stim	0		0	surprise	0.05	1.0	2000.0	1.0	57.269216500018956	0.002361000020755455
23	37.27073430002201	stim	1		100	surprise	0.05	1.0	2000.0	1.0	57.27157750003971	0.9976958000042941
23	38.26843010002631	stim	2		50	surprise	0.05	1.0	2000.0	1.0	58.269273300044006	0.5000348999747075
24	38.768465000001015	stim	0		0	surprise	0.05	1.0	1000.0	0.9804947171720192	58.76930820001871	0.0022567000123672187
24	38.77072170001338	stim	1		100	surprise	0.05	1.0	1000.0	0.9804947171720192	58.77156490003108	0.9978926999901887
24	39.76861440000357	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	59.76945760002127	0.49997800000710413
25	40.268592400010675	stim	0		0	surprise	0.05	1.0	2000.0	1.0	60.26943560002837	0.002015300007769838
25	40.270607700018445	stim	1		100	surprise	0.05	1.0	2000.0	1.0	60.27145090003614	0.997889899997972
25	41.26849760001642	stim	2		50	surprise	0.05	1.0	2000.0	1.0	61.269340800034115	0.5003382999857422
26	41.76883590000216	stim	0		0	surprise	0.05	1.0	1000.0	0.9804947171720192	61.76967910001986	0.0022865000064484775
26	41.77112240000861	stim	1		100	surprise	0.05	1.0	1000.0	0.9804947171720192	61.771965600026306	0.9979828000068665
26	42.769105200015474	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	62.76994840003317	0.4997776999953203
27	43.268882900010794	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	63.26972610002849	0.002352200011955574
27	43.27123510002275	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	63.27207830004045	0.9979219999804627
27	44.26915710000321	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	64.27000030002091	0.4987955999968108
28	44.76795270000002	stim	0		0	surprise	0.05	-1.0	2000.0	1.0	64.76879590001772	0.0022939000045880675
28	44.77024660000461	stim	1		100	surprise	0.05	-1.0	2000.0	1.0	64.77108980002231	0.9979699999967124
28	45.768216600001324	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	65.76905980001902	0.4999829000153113
29	46.268199500016635	stim	0		0	surprise	0.05	-1.0	2000.0	1.0	66.26904270003433	0.0020340000046417117
29	46.27023350002128	stim	1		100	surprise	0.05	-1.0	2000.0	1.0	66.27107670003898	0.9977451000013389
29	47.267978600022616	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	67.26882180004031	0.5027907000039704
30	47.770769300026586	stim	0		0	surprise	0.05	1.0	2000.0	1.0	67.77161250004428	0.0025723999715410173
30	47.77334169999813	stim	1		100	surprise	0.05	1.0	2000.0	1.0	67.77418490001583	0.9945382000005338
30	48.76787989999866	stim	2		50	surprise	0.05	1.0	2000.0	1.0	68.76872310001636	0.49967040002229623
31	49.26755030002096	stim	0		0	surprise	0.05	1.0	2000.0	1.0	69.26839350003866	0.0021701999939978123
31	49.269720500014955	stim	1		100	surprise	0.05	1.0	2000.0	1.0	69.27056370003265	0.9982522999926005
31	50.267972800007556	stim	2		50	surprise	0.05	1.0	2000.0	1.0	70.26881600002525	0.49964240001281723
32	50.76761520002037	stim	0		0	surprise	0.05	1.0	2000.0	1.0	70.76845840003807	0.002316800004336983
32	50.76993200002471	stim	1		100	surprise	0.05	1.0	2000.0	1.0	70.77077520004241	0.9991006999916863
32	51.769032700016396	stim	2		50	surprise	0.05	1.0	2000.0	1.0	71.7698759000341	0.4998543999972753
33	52.26888710001367	stim	0		0	surprise	0.05	1.0	2000.0	1.0	72.26973030003137	0.002612599986605346
33	52.27149970000028	stim	1		99	surprise	0.05	1.0	2000.0	1.0	72.27234290001797	0.9973392000247259
33	53.268838900025	stim	2		50	surprise	0.05	1.0	2000.0	1.0	73.2696821000427	0.5000683999969624
34	53.768907300021965	stim	0		0	surprise	0.05	1.0	2000.0	1.0	73.76975050003966	0.002338699996471405
34	53.77124600001844	stim	1		100	surprise	0.05	1.0	2000.0	1.0	73.77208920003613	0.9977794000005815
34	54.76902540001902	stim	2		50	surprise	0.05	1.0	2000.0	1.0	74.76986860003672	0.49975980000454
35	55.26878520002356	stim	0		0	surprise	0.05	1.0	2000.0	1.0	75.26962840004126	0.0023358999751508236
35	55.27112109999871	stim	1		100	surprise	0.05	1.0	2000.0	1.0	75.2719643000164	0.9980887999990955
35	56.269209899997804	stim	2		50	surprise	0.05	1.0	2000.0	1.0	76.2700531000155	0.49988760001724586
36	56.76909750001505	stim	0		0	surprise	0.05	1.0	2000.0	1.0	76.76994070003275	0.0026080000097863376
36	56.77170550002484	stim	1		100	surprise	0.05	1.0	2000.0	1.0	76.77254870004253	0.997746199980611
36	57.76945170000545	stim	2		50	surprise	0.05	1.0	2000.0	1.0	77.77029490002315	0.49971329999971204
37	58.26916500000516	stim	0		0	surprise	0.05	1.0	2000.0	1.0	78.27000820002286	0.0026826999965123832
37	58.27184770000167	stim	1		100	surprise	0.05	1.0	2000.0	1.0	78.27269090001937	0.9973817999998573
37	59.26922950000153	stim	2		50	surprise	0.05	1.0	2000.0	1.0	79.27007270001923	0.5000555000151508
38	59.76928500001668	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	79.77012820003438	0.002275000006193295
38	59.77156000002287	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	79.77240320004057	0.9979075999872293
38	60.7694676000101	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	80.7703108000278	0.4983314000128303
39	61.26779900002293	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	81.26864220004063	0.0024400999827776104
39	61.27023910000571	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	81.27108230002341	0.9978055999963544
39	62.268044700002065	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	82.26888790001976	0.49999470001785085
40	62.768039400019916	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	82.76888260003761	0.0022393999970518053
40	62.77027880001697	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	82.77112200003467	0.9983993000059854
40	63.76867810002295	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	83.76952130004065	0.4997908999794163
41	64.26846900000237	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	84.26931220002007	0.0021130999957676977
41	64.27058209999814	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	84.27142530001584	0.9984050000202842
41	65.26898710001842	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	85.26983030003612	0.49964100000215694
42	65.76862810002058	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	85.76947130003828	0.001949500001501292
