trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
0	3.7676237000268884	stim	2		50	surprise	0.05	1.0	2000.0	1.0	23.768466900044587	0.5000405999890063
1	5.267852300021332	stim	2		50	surprise	0.05	1.0	2000.0	1.0	25.26869550003903	0.500089899986051
2	6.768479700025637	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	26.769322900043335	0.49979829997755587
3	8.268155900004786	stim	2		50	surprise	0.05	1.0	2000.0	1.0	28.268999100022484	0.5004720000142697
4	9.76830290001817	stim	2		50	surprise	0.05	1.0	2000.0	1.0	29.76914610003587	0.4992922999954317
5	11.267669900000328	stim	2		50	surprise	0.05	1.0	2000.0	1.0	31.268513100018026	0.49897580000106245
6	12.757767700008117	stim	2		51	surprise	0.05	1.0	2000.0	1.0	32.758610900025815	0.5095922999898903
7	14.267092800000682	stim	2		50	surprise	0.05	1.0	2000.0	1.0	34.26793600001838	0.49972010002238676
8	15.767115800001193	stim	2		50	surprise	0.05	1.0	2000.0	1.0	35.76795900001889	0.49974769999971613
9	17.267597199999727	stim	2		50	surprise	0.05	1.0	2000.0	1.0	37.268440400017425	0.5051197000138927
10	18.76822150000953	stim	2		50	surprise	0.05	1.0	2000.0	1.0	38.76906470002723	0.49990019999677315
11	20.26820210000733	stim	2		50	surprise	0.05	1.0	2000.0	1.0	40.26904530002503	0.500218400004087
12	21.768115600018064	stim	2		50	surprise	0.05	1.0	2000.0	1.0	41.76895880003576	0.500074699986726
13	23.26843789999839	stim	2		50	surprise	0.05	1.0	2000.0	1.0	43.26928110001609	0.4999893000058364
14	24.76839550002478	stim	2		50	surprise	0.05	1.0	2000.0	1.0	44.76923870004248	0.49953699999605305
15	26.26856970001245	stim	2		50	surprise	0.05	1.0	2000.0	1.0	46.26941290003015	0.5003453000099398
16	27.767368100001477	stim	2		50	surprise	0.05	1.0	2000.0	1.0	47.768211300019175	0.5000742000120226
17	29.267367799999192	stim	2		50	surprise	0.05	1.0	2000.0	1.0	49.26821100001689	0.4997571000130847
18	30.768253500020364	stim	2		50	surprise	0.05	1.0	2000.0	1.0	50.76909670003806	0.498791899997741
19	32.26786570000695	stim	2		50	surprise	0.05	1.0	2000.0	1.0	52.26870890002465	0.5000164000084624
20	33.76782180002192	stim	2		50	surprise	0.05	1.0	2000.0	1.0	53.76866500003962	0.5000639999925625
21	35.2683794000186	stim	2		50	surprise	0.05	1.0	2000.0	1.0	55.2692226000363	0.49990679998882115
22	36.76885500000208	stim	2		50	surprise	0.05	1.0	2000.0	1.0	56.769698200019775	0.4995182999991812
23	38.26843010002631	stim	2		50	surprise	0.05	1.0	2000.0	1.0	58.269273300044006	0.5000348999747075
24	39.76861440000357	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	59.76945760002127	0.49997800000710413
